text_id,a_name,e_name,old_group,new_group,date,text_name,category,present,value_count,values
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Erzeugung des Rubinkorns,1,19,gefüllte Phiole in Athanor; 1. Phiole in Wasserdampf; 1a. 40-50 Tage im Wasserdampf; 1b. im Wasserdampf Putrefaction; 2. Phiole in Aschebad; 2a: 50 Tage im Aschebad; 2b: im Aschebad Pfauenschwanz; 3. Phiole in halben Sandbad; 3a: Phiole schaut aus Sand heraus; 3b: 50 Tage im halben Sandbad; 3c: zuerst im halben Sandbad Weiß; 3d: weitere 30 Tage im halben Sandbad; 3e: im halben Sandbad jetzt Gelb; 4: Phiole komplett im Sandbad; 4a: 40 Tage im kompletten Sandbad; 4b: im kompletten Sandbad Rot; 4c: im kompletten Sandbad in der Mitte Rubinkorn; 4d: im kompletten Sandbad außen rotes Pulver; 5: rotes Rubinkorn entnehmen
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Bezeichnung des Rubinkorns,1,2,der rechte König des Reichtums und der Gesundheit; Goldsamen
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Weiterer Syntheseschritt,0,0,
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Zwischenanalyse,0,0,
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Multiplikation,1,9,Verhältnis Rubinkorn : Menstruum Universale 1 : 10; in Phiole überführen; Phiole verschließen; im Athanor durch alle Farben; schnellere Wiederholung der ersten Operation; mehrfache Multiplikation; jede erneute Multiplikation ist schneller als die vorige; nach 1. Multiplication kann die Tinktur 10 Teile tingieren; jede Multiplikation verzehnfacht die Kraft der Tinktur
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Fermentation,1,14,multiplizierte Tinktur und Gold; multiplizierte Tinktur 1 Lot; Qualität des Goldes; hochrein; durch Antimon gegossen; 7 mal durch Antimon gegossen; Verhältnis Tinktur : Gold; Verhältnis 1 : 10; 1 Lot : 10 Lot; Gold und Tinktur in Schmelztiegel; im Ofen schmelzen; 6 Stunden schmelzen; Gold wird brüchig; Gold wird zu Rubinstein
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Projection,1,10,"Rubinstein und unedles Metall; Menge Rubinstein; 1 Gran Rubinstein; 0,5 Pfund unedles Metall; Rubinstein in Wachs gewickelt; Rubinstein in Wachs auf unedles Metall geworfen; Zusammenschmelzen; 1 Stunde zusammenschmelzen; Ausgießen; Resultat: allerfeinstes Dukatengold"
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Zuschreibung der Vorschrift,1,2,Sendivogius; Johann Podowsky
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Philosophische Vorbetrachtung,1,1,die Erde ist aller Sachen Samen
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Datierung der Probenahme,0,0,
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Ort der Probenahme,0,0,
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Art der Erde,1,1,"Erde durch Sonne, Mond und Sterne imprägniert"
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Art der Probenahme,0,0,
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Aufteilung der Erde,1,1,Erde in 2 Teile teilen
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Fundort der Erde,1,1,Chomutov
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Imprägnation der Erde,0,0,
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Extraktion,1,1,wie Salpetersieder
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Eindampfen,1,2,Sieden; Salz wird gereinigt
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Bezeichnung des ausgelaugten Salzes,1,1,Salpeter
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Weiterverarbeitung Erdsalz,1,13,ausgelaugte Erde calcinieren; Erdsalz und calcinierte Erde vermischen; Verhältnis Erdsalz zu Erde 1:3; keine Kugeln; maximal 6 Pfund pro Ansatz; Mischung in Retorte geben; in Vorlage Wasser; 2 Pfund Wasser; destilliertes Regenwasser; Spiritus geht über; Spiritus rot; Spiritus rektifizieren; Spiritus kühl lagern
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Weiterverarbeitung der Mischung von Spiritus und Sal volatile,0,0,
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Sal Volatile extra gewinnen,1,4,aus frischer Erde; 6 Pfund Erde; aus Retorte destillieren; kein Wasser vorlegen
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Extraktion Sal Fixum,1,5,"bereits verwendete Erde calcinieren; Extraktion mit Wasser; destilliertes Wasser; Extrakt reinigen; Reinigen mit mehrmaligem Lösen, Filtrieren, Koagulieren und Auskristallisieren"
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Nasser und trockener Weg,1,1,Nein
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Zusammenfügung von zwei Prinzipien,0,0,
g2a2,A2,E37,2,III,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",Zusammenfügung der drei Prinzipien,1,1,"Sal Volatile, Sal Fixum und Spiritus zusammengeben"
