#This file maps labels (0|1) to their meaning for each character.
character;type;label_0;label_1;n_texts
hand (early);position;absent;hand (early);6
himmlische (early);position;absent;himmlische (early);7
himmlischen (early);position;absent;himmlischen (early);7
hoch (early);position;absent;hoch (early);6
hälfte (early);position;absent;hälfte (early);7
irren (early);position;absent;irren (early);7
jedoch (early);position;absent;jedoch (early);6
leichtlich (early);position;absent;leichtlich (early);7
mitte (late);position;absent;mitte (late);7
multiplication (late);position;absent;multiplication (late);7
pulvers (late);position;absent;pulvers (late);6
sande (late);position;absent;sande (late);6
setzet (late);position;absent;setzet (late);6
solchen (late);position;absent;solchen (late);5
starck (late);position;absent;starck (late);6
vaporischen (late);position;absent;vaporischen (late);7
verlutiert (early);position;absent;verlutiert (early);6
wirfft (late);position;absent;wirfft (late);7
balneo (early);position;absent;balneo (early);7
blech (late);position;absent;blech (late);8
bringen (early);position;absent;bringen (early);5
calcinire (early);position;absent;calcinire (early);4
coaguliren (early);position;absent;coaguliren (early);7
dies (late);position;absent;dies (late);8
erkalten (early);position;absent;erkalten (early);7
erzeiget (late);position;absent;erzeiget (late);8
flüchtiges (early);position;absent;flüchtiges (early);7
gezogen (early);position;absent;gezogen (early);8
gleichsam (early);position;absent;gleichsam (early);7
hinterstellige (early);position;absent;hinterstellige (early);8
keine (early);position;absent;keine (early);6
mortua (early);position;absent;mortua (early);7
nemlich (early);position;absent;nemlich (early);5
part (late);position;absent;part (late);5
probier (late);position;absent;probier (late);7
recipienten (early);position;absent;recipienten (early);7
solviren (early);position;absent;solviren (early);5
sternen (early);position;absent;sternen (early);8
sublimiret (early);position;absent;sublimiret (early);6
terram (early);position;absent;terram (early);6
vorigen (early);position;absent;vorigen (early);8
zurück (late);position;absent;zurück (late);7
asche (late);position;absent;asche (late);9
dampff (late);position;absent;dampff (late);9
dinge (early);position;absent;dinge (early);9
dritte (late);position;absent;dritte (late);8
erleiden (late);position;absent;erleiden (late);9
finger (late);position;absent;finger (late);9
gebet (late);position;absent;gebet (late);8
genugsam (early);position;absent;genugsam (early);9
halb (early);position;absent;halb (early);8
hermetice (late);position;absent;hermetice (late);9
hitze (late);position;absent;hitze (late);8
höchste (early);position;absent;höchste (early);8
innerhalb (late);position;absent;innerhalb (late);9
kalten (early);position;absent;kalten (early);8
lehr (late);position;absent;lehr (late);9
mitten (late);position;absent;mitten (late);8
prima (late);position;absent;prima (late);7
reinigen (early);position;absent;reinigen (early);9
rothen (late);position;absent;rothen (late);9
schießen (early);position;absent;schießen (early);9
solution (late);position;absent;solution (late);8
starcken (early);position;absent;starcken (early);8
unterschiedliche (early);position;absent;unterschiedliche (early);9
ziehe (early);position;absent;ziehe (early);6
distilliren (early);position;absent;distilliren (early);10
fleißig (early);position;absent;fleißig (early);9
fluß (late);position;absent;fluß (late);9
fort (late);position;absent;fort (late);9
gruben (early);position;absent;gruben (early);8
himmel (early);position;absent;himmel (early);10
retorten (early);position;absent;retorten (early);10
salia (early);position;absent;salia (early);10
sehen (late);position;absent;sehen (late);10
seiner (early);position;absent;seiner (early);7
weil (late);position;absent;weil (late);9
allezeit (late);position;absent;allezeit (late);11
distillirt (early);position;absent;distillirt (early);10
filtriren (early);position;absent;filtriren (early);10
gebohren (early);position;absent;gebohren (early);10
lauter (late);position;absent;lauter (late);9
medicin (late);position;absent;medicin (late);11
multiplicatio (late);position;absent;multiplicatio (late);11
principia (early);position;absent;principia (early);8
quecksilber (late);position;absent;quecksilber (late);11
rubin (late);position;absent;rubin (late);11
silber (late);position;absent;silber (late);10
sonnen (early);position;absent;sonnen (early);11
tief (early);position;absent;tief (early);9
vorlage (early);position;absent;vorlage (early);11
welchem (late);position;absent;welchem (late);10
retorte (early);position;absent;retorte (early);10
gehen (early);position;absent;gehen (early);10
phlegma (early);position;absent;phlegma (early);10
voll (early);position;absent;voll (early);13
stylometric cluster 1;cluster;absent;stylometric cluster 1;7
stylometric cluster 2;cluster;absent;stylometric cluster 2;4
stylometric cluster 3;cluster;absent;stylometric cluster 3;6
uses "vel" (not "wohl");spelling;absent;uses "vel" (not "wohl");3
uses "wol" (not "wohl");spelling;absent;uses "wol" (not "wohl");3
uses "weil" (not "wohl");spelling;absent;uses "weil" (not "wohl");3
uses "ort" (not "heraus");spelling;absent;uses "ort" (not "heraus");3
uses "erd" (not "heraus");spelling;absent;uses "erd" (not "heraus");3
uses "alßdann" (not "alsdenn");spelling;absent;uses "alßdann" (not "alsdenn");3
uses "nun" (not "man");spelling;absent;uses "nun" (not "man");3
uses "offen" (not "ofen");spelling;absent;uses "offen" (not "ofen");4
uses "schiessen" (not "schießen");spelling;absent;uses "schiessen" (not "schießen");4
uses "gebet" (not "caput");spelling;absent;uses "gebet" (not "caput");3
uses "ganz" (not "gantz");spelling;absent;uses "ganz" (not "gantz");3
uses "mal" (not "mahl");spelling;absent;uses "mal" (not "mahl");3
uses "geschiehet" (not "geschieht");spelling;absent;uses "geschiehet" (not "geschieht");4
uses "sieden" (not "stehen");spelling;absent;uses "sieden" (not "stehen");3
uses "stein" (not "stehen");spelling;absent;uses "stein" (not "stehen");3
uses "fixi" (not "fixe");spelling;absent;uses "fixi" (not "fixe");5
uses "breit" (not "part");spelling;absent;uses "breit" (not "part");4
uses "terram" (not "darein");spelling;absent;uses "terram" (not "darein");3
uses "darinne" (not "darein");spelling;absent;uses "darinne" (not "darein");3
uses "seinem" (not "sonnen");spelling;absent;uses "seinem" (not "sonnen");3
uses "seinen" (not "sonnen");spelling;absent;uses "seinen" (not "sonnen");3
uses "keine" (not "kan");spelling;absent;uses "keine" (not "kan");3
uses "was" (not "weiß");spelling;absent;uses "was" (not "weiß");3
uses "weit" (not "weiß");spelling;absent;uses "weit" (not "weiß");4
uses "vorigen" (not "virginea");spelling;absent;uses "vorigen" (not "virginea");5
uses "calcinir" (not "calcinire");spelling;absent;uses "calcinir" (not "calcinire");4
uses "grosse" (not "grad");spelling;absent;uses "grosse" (not "grad");4
uses "groß" (not "grad");spelling;absent;uses "groß" (not "grad");4
uses "große" (not "grad");spelling;absent;uses "große" (not "grad");3
uses "bringet" (not "bringt");spelling;absent;uses "bringet" (not "bringt");3
uses "welchen" (not "welchem");spelling;absent;uses "welchen" (not "welchem");4
uses "sachen" (not "schön");spelling;absent;uses "sachen" (not "schön");3
uses "leib" (not "lb");spelling;absent;uses "leib" (not "lb");4
uses "mans" (not "nehmet");spelling;absent;uses "mans" (not "nehmet");4
uses "monat" (not "nehmet");spelling;absent;uses "monat" (not "nehmet");4
uses "mond" (not "nehmet");spelling;absent;uses "mond" (not "nehmet");5
uses "himlische" (not "himmlische");spelling;absent;uses "himlische" (not "himmlische");3
uses "schatz" (not "sichs");spelling;absent;uses "schatz" (not "sichs");4
uses "darauß" (not "daraus");spelling;absent;uses "darauß" (not "daraus");5
uses "wiesen" (not "wissen");spelling;absent;uses "wiesen" (not "wissen");3
uses "freyen" (not "warm");spelling;absent;uses "freyen" (not "warm");3
uses "centrum" (not "sondern");spelling;absent;uses "centrum" (not "sondern");4
uses "bis" (not "biß");spelling;absent;uses "bis" (not "biß");5
uses "tieff" (not "tief");spelling;absent;uses "tieff" (not "tief");4
uses "höltzerne" (not "hölzerne");spelling;absent;uses "höltzerne" (not "hölzerne");3
uses "ander" (not "andere");spelling;absent;uses "ander" (not "andere");4
uses "unter" (not "andere");spelling;absent;uses "unter" (not "andere");4
uses "destillire" (not "distillire");spelling;absent;uses "destillire" (not "distillire");3
uses "mag" (not "nach");spelling;absent;uses "mag" (not "nach");3
uses "mache" (not "nach");spelling;absent;uses "mache" (not "nach");3
uses "gehe" (not "quia");spelling;absent;uses "gehe" (not "quia");5
uses "retortae" (not "retorte");spelling;absent;uses "retortae" (not "retorte");4
uses "graben" (not "gruben");spelling;absent;uses "graben" (not "gruben");3
uses "zeit" (not "setze");spelling;absent;uses "zeit" (not "setze");3
uses "nehmlich" (not "nemlich");spelling;absent;uses "nehmlich" (not "nemlich");3
uses "primo" (not "prima");spelling;absent;uses "primo" (not "prima");3
uses "dampf" (not "dampff");spelling;absent;uses "dampf" (not "dampff");4
uses "soll" (not "sal");spelling;absent;uses "soll" (not "sal");4
uses "salia" (not "sal");spelling;absent;uses "salia" (not "sal");3
uses "töpfer" (not "töpffer");spelling;absent;uses "töpfer" (not "töpffer");4
uses "phiol" (not "phiole");spelling;absent;uses "phiol" (not "phiole");9
uses "destilliren" (not "distilliren");spelling;absent;uses "destilliren" (not "distilliren");3
uses "obs" (not "habt");spelling;absent;uses "obs" (not "habt");6
uses "apud" (not "habt");spelling;absent;uses "apud" (not "habt");3
uses "einmahl" (not "himmel");spelling;absent;uses "einmahl" (not "himmel");4
uses "fluß" (not "welt");spelling;absent;uses "fluß" (not "welt");3
uses "fleust" (not "welt");spelling;absent;uses "fleust" (not "welt");3
uses "ligen" (not "laugen");spelling;absent;uses "ligen" (not "laugen");3
uses "acht" (not "ex");spelling;absent;uses "acht" (not "ex");4
uses "faeces" (not "feces");spelling;absent;uses "faeces" (not "feces");3
uses "bald" (not "behalt");spelling;absent;uses "bald" (not "behalt");3
uses "ignem" (not "eigenen");spelling;absent;uses "ignem" (not "eigenen");3
uses "allzeit" (not "allezeit");spelling;absent;uses "allzeit" (not "allezeit");3
uses "volatili" (not "volatile");spelling;absent;uses "volatili" (not "volatile");6
uses "gleiche" (not "gleich");spelling;absent;uses "gleiche" (not "gleich");3
uses "materia" (not "nitri");spelling;absent;uses "materia" (not "nitri");5
uses "darüber" (not "drüber");spelling;absent;uses "darüber" (not "drüber");6
uses "verfahre" (not "verwahre");spelling;absent;uses "verfahre" (not "verwahre");3
uses "mögen" (not "machen");spelling;absent;uses "mögen" (not "machen");4
uses "filtrieren" (not "filtriren");spelling;absent;uses "filtrieren" (not "filtriren");5
uses "allein" (not "allen");spelling;absent;uses "allein" (not "allen");5
uses "alleine" (not "allen");spelling;absent;uses "alleine" (not "allen");5
uses "luft" (not "lufft");spelling;absent;uses "luft" (not "lufft");3
uses "extrahir" (not "extrahire");spelling;absent;uses "extrahir" (not "extrahire");3
uses "gereinigt" (not "gereiniget");spelling;absent;uses "gereinigt" (not "gereiniget");3
uses "fleissig" (not "fleißig");spelling;absent;uses "fleissig" (not "fleißig");3
uses "löcher" (not "liquore");spelling;absent;uses "löcher" (not "liquore");4
uses "lassen" (not "laßen");spelling;absent;uses "lassen" (not "laßen");4
uses "anfange" (not "anfang");spelling;absent;uses "anfange" (not "anfang");3
uses "leer" (not "lehr");spelling;absent;uses "leer" (not "lehr");4
